feature,corr
family_code,-0.11415911632764066
store_type_code,-0.09576591088813854
oil_price,-0.07276116188161118
cluster,0.03852528075024835
store_code,0.041196053182245715
state_code,0.06899364123554658
store_avg_sales,0.21508069307646907
onpromotion,0.4279232048120973
family_share,0.7048155370317726
family_avg_sales,0.7048155370318433
sales_std7,0.8165649168865223
store_family_avg,0.8725782038384993
sales_dow_mean,0.8981242873967724
sales_max7,0.9101719026875853
sales_lag_28,0.912003237851643
sales_min7,0.9166768716846008
sales_lag_14,0.9281084760574341
sales_roll28,0.9314145262871211
sales_lag_7,0.9360450898034657
sales_roll14,0.9361194113913264
sales_roll7,0.9385954841159094
